"timeframe",""
"2009-03-05 - 2012-01-19","NOR_B_3 - AUS_B_3"
"2009-03-05 - 2012-01-19","CHN_B_3 - CAN_B_3"
"2009-03-05 - 2012-01-19","USA_B_3 - GBR_B_3"
"2009-03-05 - 2012-01-19","CHE_B_3 - ITA_B_3"
"2009-03-05 - 2012-01-19","NOR_B_3 - MEX_B_3"
"2009-03-05 - 2012-01-19","USA_B_3 - MEX_B_3"
"2009-03-12 - 2012-01-26","FRA_B_1 - CAN_B_1"
"2009-03-12 - 2012-01-26","GBR_B_1 - CAN_B_1"
"2009-03-12 - 2012-01-26","FRA_B_1 - DEU_B_1"
"2009-03-12 - 2012-01-26","DEU_B_1 - FRA_B_1"
"2009-03-12 - 2012-01-26","JPN_B_1 - FRA_B_1"
"2009-03-12 - 2012-01-26","DEU_B_1 - GBR_B_1"
"2009-03-12 - 2012-01-26","CHN_B_1 - MEX_B_1"
"2009-03-12 - 2012-01-26","CHE_B_1 - USA_B_1"
"2009-03-12 - 2012-01-26","CHE_B_2 - AUS_B_2"
"2009-03-12 - 2012-01-26","AUS_B_2 - CAN_B_2"
"2009-03-12 - 2012-01-26","MEX_B_2 - CAN_B_2"
"2009-03-12 - 2012-01-26","CHN_B_2 - CHE_B_2"
"2009-03-12 - 2012-01-26","MEX_B_2 - CHE_B_2"
"2009-03-12 - 2012-01-26","GBR_B_2 - CHN_B_2"
"2009-03-12 - 2012-01-26","ITA_B_2 - DEU_B_2"
"2009-03-12 - 2012-01-26","ITA_B_2 - FRA_B_2"
"2009-03-12 - 2012-01-26","NOR_B_2 - FRA_B_2"
"2009-03-12 - 2012-01-26","CHN_B_2 - USA_B_2"
"2009-03-12 - 2012-01-26","ITA_B_3 - AUS_B_3"
"2009-03-12 - 2012-01-26","MEX_B_3 - AUS_B_3"
"2009-03-12 - 2012-01-26","NOR_B_3 - AUS_B_3"
"2009-03-12 - 2012-01-26","CHN_B_3 - CAN_B_3"
"2009-03-12 - 2012-01-26","USA_B_3 - GBR_B_3"
"2009-03-12 - 2012-01-26","CHE_B_3 - ITA_B_3"
"2009-03-12 - 2012-01-26","DEU_B_3 - ITA_B_3"
"2009-03-12 - 2012-01-26","NOR_B_3 - MEX_B_3"
"2009-03-19 - 2012-02-02","FRA_B_1 - CAN_B_1"
"2009-03-19 - 2012-02-02","GBR_B_1 - CAN_B_1"
"2009-03-19 - 2012-02-02","FRA_B_1 - DEU_B_1"
"2009-03-19 - 2012-02-02","DEU_B_1 - FRA_B_1"
"2009-03-19 - 2012-02-02","DEU_B_1 - GBR_B_1"
"2009-03-19 - 2012-02-02","CHN_B_1 - MEX_B_1"
"2009-03-19 - 2012-02-02","CHE_B_1 - USA_B_1"
"2009-03-19 - 2012-02-02","CHE_B_2 - AUS_B_2"
"2009-03-19 - 2012-02-02","AUS_B_2 - CAN_B_2"
"2009-03-19 - 2012-02-02","CHN_B_2 - CHE_B_2"
"2009-03-19 - 2012-02-02","MEX_B_2 - CHE_B_2"
"2009-03-19 - 2012-02-02","GBR_B_2 - CHN_B_2"
"2009-03-19 - 2012-02-02","ITA_B_2 - DEU_B_2"
"2009-03-19 - 2012-02-02","NOR_B_2 - FRA_B_2"
"2009-03-19 - 2012-02-02","CHN_B_2 - USA_B_2"
"2009-03-19 - 2012-02-02","ITA_B_3 - AUS_B_3"
"2009-03-19 - 2012-02-02","MEX_B_3 - AUS_B_3"
"2009-03-19 - 2012-02-02","NOR_B_3 - AUS_B_3"
"2009-03-19 - 2012-02-02","CHN_B_3 - CAN_B_3"
"2009-03-19 - 2012-02-02","USA_B_3 - CAN_B_3"
"2009-03-19 - 2012-02-02","FRA_B_3 - ITA_B_3"
"2009-03-19 - 2012-02-02","NOR_B_3 - MEX_B_3"
"2009-03-26 - 2012-02-09","FRA_B_1 - CAN_B_1"
"2009-03-26 - 2012-02-09","GBR_B_1 - CAN_B_1"
"2009-03-26 - 2012-02-09","FRA_B_1 - DEU_B_1"
"2009-03-26 - 2012-02-09","JPN_B_1 - FRA_B_1"
"2009-03-26 - 2012-02-09","MEX_B_1 - FRA_B_1"
"2009-03-26 - 2012-02-09","DEU_B_1 - GBR_B_1"
"2009-03-26 - 2012-02-09","CHN_B_1 - MEX_B_1"
"2009-03-26 - 2012-02-09","CHE_B_1 - USA_B_1"
"2009-03-26 - 2012-02-09","CHE_B_2 - AUS_B_2"
"2009-03-26 - 2012-02-09","AUS_B_2 - CAN_B_2"
"2009-03-26 - 2012-02-09","CHN_B_2 - CHE_B_2"
"2009-03-26 - 2012-02-09","GBR_B_2 - CHN_B_2"
"2009-03-26 - 2012-02-09","ITA_B_2 - DEU_B_2"
"2009-03-26 - 2012-02-09","ITA_B_2 - FRA_B_2"
"2009-03-26 - 2012-02-09","NOR_B_2 - FRA_B_2"
"2009-03-26 - 2012-02-09","NOR_B_2 - ITA_B_2"
"2009-03-26 - 2012-02-09","CHN_B_2 - USA_B_2"
"2009-03-26 - 2012-02-09","ITA_B_3 - AUS_B_3"
"2009-03-26 - 2012-02-09","MEX_B_3 - AUS_B_3"
"2009-03-26 - 2012-02-09","NOR_B_3 - AUS_B_3"
"2009-03-26 - 2012-02-09","CHN_B_3 - CAN_B_3"
"2009-03-26 - 2012-02-09","USA_B_3 - CAN_B_3"
"2009-03-26 - 2012-02-09","USA_B_3 - GBR_B_3"
"2009-03-26 - 2012-02-09","DEU_B_3 - ITA_B_3"
"2009-03-26 - 2012-02-09","FRA_B_3 - ITA_B_3"
"2009-03-26 - 2012-02-09","NOR_B_3 - MEX_B_3"
"2009-03-26 - 2012-02-09","NOR_B_3 - USA_B_3"
"2009-04-02 - 2012-02-16","FRA_B_1 - CAN_B_1"
"2009-04-02 - 2012-02-16","GBR_B_1 - CAN_B_1"
"2009-04-02 - 2012-02-16","USA_B_1 - CHN_B_1"
"2009-04-02 - 2012-02-16","FRA_B_1 - DEU_B_1"
"2009-04-02 - 2012-02-16","JPN_B_1 - FRA_B_1"
"2009-04-02 - 2012-02-16","MEX_B_1 - FRA_B_1"
"2009-04-02 - 2012-02-16","DEU_B_1 - GBR_B_1"
"2009-04-02 - 2012-02-16","MEX_B_1 - ITA_B_1"
"2009-04-02 - 2012-02-16","CHN_B_1 - MEX_B_1"
"2009-04-02 - 2012-02-16","CHE_B_1 - USA_B_1"
"2009-04-02 - 2012-02-16","CHE_B_2 - AUS_B_2"
"2009-04-02 - 2012-02-16","AUS_B_2 - CAN_B_2"
"2009-04-02 - 2012-02-16","CHN_B_2 - CHE_B_2"
"2009-04-02 - 2012-02-16","GBR_B_2 - CHN_B_2"
"2009-04-02 - 2012-02-16","ITA_B_2 - DEU_B_2"
"2009-04-02 - 2012-02-16","ITA_B_2 - FRA_B_2"
"2009-04-02 - 2012-02-16","NOR_B_2 - FRA_B_2"
"2009-04-02 - 2012-02-16","MEX_B_2 - NOR_B_2"
"2009-04-02 - 2012-02-16","CHN_B_2 - USA_B_2"
"2009-04-02 - 2012-02-16","ITA_B_3 - AUS_B_3"
"2009-04-02 - 2012-02-16","MEX_B_3 - AUS_B_3"
"2009-04-02 - 2012-02-16","NOR_B_3 - AUS_B_3"
"2009-04-02 - 2012-02-16","CHN_B_3 - CAN_B_3"
"2009-04-02 - 2012-02-16","USA_B_3 - CAN_B_3"
"2009-04-02 - 2012-02-16","CHE_B_3 - DEU_B_3"
"2009-04-02 - 2012-02-16","CHE_B_3 - FRA_B_3"
"2009-04-02 - 2012-02-16","USA_B_3 - GBR_B_3"
"2009-04-02 - 2012-02-16","DEU_B_3 - ITA_B_3"
"2009-04-02 - 2012-02-16","FRA_B_3 - ITA_B_3"
"2009-04-02 - 2012-02-16","NOR_B_3 - MEX_B_3"
"2009-04-02 - 2012-02-16","MEX_B_3 - USA_B_3"
"2009-04-09 - 2012-02-23","FRA_B_1 - CAN_B_1"
"2009-04-09 - 2012-02-23","GBR_B_1 - CAN_B_1"
"2009-04-09 - 2012-02-23","USA_B_1 - CHN_B_1"
"2009-04-09 - 2012-02-23","FRA_B_1 - DEU_B_1"
"2009-04-09 - 2012-02-23","MEX_B_1 - FRA_B_1"
"2009-04-09 - 2012-02-23","DEU_B_1 - GBR_B_1"
"2009-04-09 - 2012-02-23","CHN_B_1 - MEX_B_1"
"2009-04-09 - 2012-02-23","CHE_B_1 - USA_B_1"
"2009-04-09 - 2012-02-23","CHE_B_2 - AUS_B_2"
"2009-04-09 - 2012-02-23","AUS_B_2 - CAN_B_2"
"2009-04-09 - 2012-02-23","CHN_B_2 - CHE_B_2"
"2009-04-09 - 2012-02-23","GBR_B_2 - CHN_B_2"
"2009-04-09 - 2012-02-23","ITA_B_2 - DEU_B_2"
"2009-04-09 - 2012-02-23","ITA_B_2 - FRA_B_2"
"2009-04-09 - 2012-02-23","NOR_B_2 - FRA_B_2"
"2009-04-09 - 2012-02-23","ITA_B_2 - NOR_B_2"
"2009-04-09 - 2012-02-23","MEX_B_2 - NOR_B_2"
"2009-04-09 - 2012-02-23","CHN_B_2 - USA_B_2"
"2009-04-09 - 2012-02-23","ITA_B_3 - AUS_B_3"
"2009-04-09 - 2012-02-23","NOR_B_3 - AUS_B_3"
"2009-04-09 - 2012-02-23","CHN_B_3 - CAN_B_3"
"2009-04-09 - 2012-02-23","USA_B_3 - CAN_B_3"
"2009-04-09 - 2012-02-23","CHE_B_3 - DEU_B_3"
"2009-04-09 - 2012-02-23","CHE_B_3 - FRA_B_3"
"2009-04-09 - 2012-02-23","USA_B_3 - GBR_B_3"
"2009-04-09 - 2012-02-23","DEU_B_3 - ITA_B_3"
"2009-04-09 - 2012-02-23","MEX_B_3 - USA_B_3"
"2009-04-09 - 2012-02-23","NOR_B_3 - USA_B_3"
"2009-04-16 - 2012-03-01","FRA_B_1 - CAN_B_1"
"2009-04-16 - 2012-03-01","GBR_B_1 - CAN_B_1"
"2009-04-16 - 2012-03-01","USA_B_1 - CHN_B_1"
"2009-04-16 - 2012-03-01","FRA_B_1 - DEU_B_1"
"2009-04-16 - 2012-03-01","MEX_B_1 - DEU_B_1"
"2009-04-16 - 2012-03-01","JPN_B_1 - FRA_B_1"
"2009-04-16 - 2012-03-01","DEU_B_1 - GBR_B_1"
"2009-04-16 - 2012-03-01","CHN_B_1 - MEX_B_1"
"2009-04-16 - 2012-03-01","CHE_B_1 - USA_B_1"
"2009-04-16 - 2012-03-01","AUS_B_2 - CAN_B_2"
"2009-04-16 - 2012-03-01","CHN_B_2 - CHE_B_2"
"2009-04-16 - 2012-03-01","GBR_B_2 - CHN_B_2"
"2009-04-16 - 2012-03-01","ITA_B_2 - DEU_B_2"
"2009-04-16 - 2012-03-01","ITA_B_2 - NOR_B_2"
"2009-04-16 - 2012-03-01","CHN_B_2 - USA_B_2"
"2009-04-16 - 2012-03-01","ITA_B_3 - AUS_B_3"
"2009-04-16 - 2012-03-01","CHN_B_3 - CAN_B_3"
"2009-04-16 - 2012-03-01","USA_B_3 - CAN_B_3"
"2009-04-16 - 2012-03-01","CHE_B_3 - DEU_B_3"
"2009-04-16 - 2012-03-01","CHE_B_3 - FRA_B_3"
"2009-04-16 - 2012-03-01","USA_B_3 - GBR_B_3"
"2009-04-16 - 2012-03-01","DEU_B_3 - ITA_B_3"
"2009-04-16 - 2012-03-01","NOR_B_3 - MEX_B_3"
"2009-04-16 - 2012-03-01","MEX_B_3 - USA_B_3"
"2009-04-16 - 2012-03-01","NOR_B_3 - USA_B_3"
"2009-04-23 - 2012-03-08","FRA_B_1 - CAN_B_1"
"2009-04-23 - 2012-03-08","GBR_B_1 - CAN_B_1"
"2009-04-23 - 2012-03-08","USA_B_1 - CHN_B_1"
"2009-04-23 - 2012-03-08","FRA_B_1 - DEU_B_1"
"2009-04-23 - 2012-03-08","MEX_B_1 - DEU_B_1"
"2009-04-23 - 2012-03-08","JPN_B_1 - FRA_B_1"
"2009-04-23 - 2012-03-08","DEU_B_1 - GBR_B_1"
"2009-04-23 - 2012-03-08","CHN_B_1 - MEX_B_1"
"2009-04-23 - 2012-03-08","CHN_B_2 - CHE_B_2"
"2009-04-23 - 2012-03-08","GBR_B_2 - CHN_B_2"
"2009-04-23 - 2012-03-08","ITA_B_2 - DEU_B_2"
"2009-04-23 - 2012-03-08","ITA_B_2 - NOR_B_2"
"2009-04-23 - 2012-03-08","CHN_B_2 - USA_B_2"
"2009-04-23 - 2012-03-08","CHN_B_3 - CAN_B_3"
"2009-04-23 - 2012-03-08","USA_B_3 - CAN_B_3"
"2009-04-23 - 2012-03-08","CHE_B_3 - DEU_B_3"
"2009-04-23 - 2012-03-08","CHE_B_3 - FRA_B_3"
"2009-04-23 - 2012-03-08","USA_B_3 - GBR_B_3"
"2009-04-23 - 2012-03-08","DEU_B_3 - ITA_B_3"
"2009-04-23 - 2012-03-08","NOR_B_3 - MEX_B_3"
"2009-04-23 - 2012-03-08","MEX_B_3 - USA_B_3"
"2009-04-23 - 2012-03-08","NOR_B_3 - USA_B_3"
"2009-04-30 - 2012-03-15","FRA_B_1 - CAN_B_1"
"2009-04-30 - 2012-03-15","GBR_B_1 - CAN_B_1"
"2009-04-30 - 2012-03-15","MEX_B_1 - CHN_B_1"
"2009-04-30 - 2012-03-15","USA_B_1 - CHN_B_1"
"2009-04-30 - 2012-03-15","FRA_B_1 - DEU_B_1"
"2009-04-30 - 2012-03-15","MEX_B_1 - DEU_B_1"
"2009-04-30 - 2012-03-15","DEU_B_1 - GBR_B_1"
"2009-04-30 - 2012-03-15","CHN_B_1 - MEX_B_1"
"2009-04-30 - 2012-03-15","CHE_B_1 - USA_B_1"
"2009-04-30 - 2012-03-15","AUS_B_2 - CAN_B_2"
"2009-04-30 - 2012-03-15","CHN_B_2 - CHE_B_2"
"2009-04-30 - 2012-03-15","GBR_B_2 - CHN_B_2"
"2009-04-30 - 2012-03-15","ITA_B_2 - DEU_B_2"
"2009-04-30 - 2012-03-15","ITA_B_2 - NOR_B_2"
"2009-04-30 - 2012-03-15","CHN_B_2 - USA_B_2"
"2009-04-30 - 2012-03-15","CHN_B_3 - CAN_B_3"
"2009-04-30 - 2012-03-15","USA_B_3 - CAN_B_3"
"2009-04-30 - 2012-03-15","CHE_B_3 - DEU_B_3"
"2009-04-30 - 2012-03-15","CHE_B_3 - FRA_B_3"
"2009-04-30 - 2012-03-15","USA_B_3 - GBR_B_3"
"2009-04-30 - 2012-03-15","DEU_B_3 - ITA_B_3"
"2009-04-30 - 2012-03-15","NOR_B_3 - MEX_B_3"
"2009-04-30 - 2012-03-15","MEX_B_3 - USA_B_3"
"2009-04-30 - 2012-03-15","NOR_B_3 - USA_B_3"
"2009-05-07 - 2012-03-22","FRA_B_1 - CAN_B_1"
"2009-05-07 - 2012-03-22","GBR_B_1 - CAN_B_1"
"2009-05-07 - 2012-03-22","MEX_B_1 - CHN_B_1"
"2009-05-07 - 2012-03-22","USA_B_1 - CHN_B_1"
"2009-05-07 - 2012-03-22","FRA_B_1 - DEU_B_1"
"2009-05-07 - 2012-03-22","MEX_B_1 - DEU_B_1"
"2009-05-07 - 2012-03-22","JPN_B_1 - FRA_B_1"
"2009-05-07 - 2012-03-22","DEU_B_1 - GBR_B_1"
"2009-05-07 - 2012-03-22","CHN_B_1 - MEX_B_1"
"2009-05-07 - 2012-03-22","CHE_B_1 - USA_B_1"
"2009-05-07 - 2012-03-22","AUS_B_2 - CAN_B_2"
"2009-05-07 - 2012-03-22","GBR_B_2 - CHN_B_2"
"2009-05-07 - 2012-03-22","ITA_B_2 - DEU_B_2"
"2009-05-07 - 2012-03-22","ITA_B_2 - NOR_B_2"
"2009-05-07 - 2012-03-22","CHN_B_2 - USA_B_2"
"2009-05-07 - 2012-03-22","CHN_B_3 - CAN_B_3"
"2009-05-07 - 2012-03-22","USA_B_3 - CAN_B_3"
"2009-05-07 - 2012-03-22","CHE_B_3 - DEU_B_3"
"2009-05-07 - 2012-03-22","CHE_B_3 - FRA_B_3"
"2009-05-07 - 2012-03-22","USA_B_3 - GBR_B_3"
"2009-05-07 - 2012-03-22","DEU_B_3 - ITA_B_3"
"2009-05-07 - 2012-03-22","NOR_B_3 - MEX_B_3"
"2009-05-07 - 2012-03-22","MEX_B_3 - USA_B_3"
"2009-05-07 - 2012-03-22","NOR_B_3 - USA_B_3"
"2009-05-14 - 2012-03-29","FRA_B_1 - CAN_B_1"
"2009-05-14 - 2012-03-29","GBR_B_1 - CAN_B_1"
"2009-05-14 - 2012-03-29","MEX_B_1 - CHN_B_1"
"2009-05-14 - 2012-03-29","USA_B_1 - CHN_B_1"
"2009-05-14 - 2012-03-29","FRA_B_1 - DEU_B_1"
"2009-05-14 - 2012-03-29","MEX_B_1 - DEU_B_1"
"2009-05-14 - 2012-03-29","JPN_B_1 - FRA_B_1"
"2009-05-14 - 2012-03-29","MEX_B_1 - FRA_B_1"
"2009-05-14 - 2012-03-29","DEU_B_1 - GBR_B_1"
"2009-05-14 - 2012-03-29","CHN_B_1 - MEX_B_1"
"2009-05-14 - 2012-03-29","CHE_B_1 - USA_B_1"
"2009-05-14 - 2012-03-29","AUS_B_2 - CAN_B_2"
"2009-05-14 - 2012-03-29","GBR_B_2 - CHN_B_2"
"2009-05-14 - 2012-03-29","ITA_B_2 - DEU_B_2"
"2009-05-14 - 2012-03-29","NOR_B_2 - ITA_B_2"
"2009-05-14 - 2012-03-29","ITA_B_2 - NOR_B_2"
"2009-05-14 - 2012-03-29","CHN_B_2 - USA_B_2"
"2009-05-14 - 2012-03-29","CHN_B_3 - CAN_B_3"
"2009-05-14 - 2012-03-29","CHE_B_3 - FRA_B_3"
"2009-05-14 - 2012-03-29","USA_B_3 - GBR_B_3"
"2009-05-14 - 2012-03-29","DEU_B_3 - ITA_B_3"
"2009-05-14 - 2012-03-29","NOR_B_3 - MEX_B_3"
"2009-05-14 - 2012-03-29","MEX_B_3 - USA_B_3"
"2009-05-14 - 2012-03-29","NOR_B_3 - USA_B_3"
"2009-05-21 - 2012-04-05","FRA_B_1 - CAN_B_1"
"2009-05-21 - 2012-04-05","GBR_B_1 - CAN_B_1"
"2009-05-21 - 2012-04-05","MEX_B_1 - CHN_B_1"
"2009-05-21 - 2012-04-05","USA_B_1 - CHN_B_1"
"2009-05-21 - 2012-04-05","FRA_B_1 - DEU_B_1"
"2009-05-21 - 2012-04-05","MEX_B_1 - DEU_B_1"
"2009-05-21 - 2012-04-05","MEX_B_1 - FRA_B_1"
"2009-05-21 - 2012-04-05","DEU_B_1 - GBR_B_1"
"2009-05-21 - 2012-04-05","CHN_B_1 - MEX_B_1"
"2009-05-21 - 2012-04-05","AUS_B_2 - CAN_B_2"
"2009-05-21 - 2012-04-05","GBR_B_2 - CHN_B_2"
"2009-05-21 - 2012-04-05","ITA_B_2 - DEU_B_2"
"2009-05-21 - 2012-04-05","NOR_B_2 - ITA_B_2"
"2009-05-21 - 2012-04-05","ITA_B_2 - NOR_B_2"
"2009-05-21 - 2012-04-05","CHN_B_2 - USA_B_2"
"2009-05-21 - 2012-04-05","ITA_B_3 - AUS_B_3"
"2009-05-21 - 2012-04-05","MEX_B_3 - AUS_B_3"
"2009-05-21 - 2012-04-05","USA_B_3 - CAN_B_3"
"2009-05-21 - 2012-04-05","CHE_B_3 - FRA_B_3"
"2009-05-21 - 2012-04-05","USA_B_3 - GBR_B_3"
"2009-05-21 - 2012-04-05","MEX_B_3 - USA_B_3"
"2009-05-21 - 2012-04-05","NOR_B_3 - USA_B_3"
"2009-05-28 - 2012-04-12","FRA_B_1 - CAN_B_1"
"2009-05-28 - 2012-04-12","GBR_B_1 - CAN_B_1"
"2009-05-28 - 2012-04-12","MEX_B_1 - CHN_B_1"
"2009-05-28 - 2012-04-12","USA_B_1 - CHN_B_1"
"2009-05-28 - 2012-04-12","FRA_B_1 - DEU_B_1"
"2009-05-28 - 2012-04-12","MEX_B_1 - DEU_B_1"
"2009-05-28 - 2012-04-12","MEX_B_1 - FRA_B_1"
"2009-05-28 - 2012-04-12","DEU_B_1 - GBR_B_1"
"2009-05-28 - 2012-04-12","CHN_B_1 - MEX_B_1"
"2009-05-28 - 2012-04-12","GBR_B_2 - CHN_B_2"
"2009-05-28 - 2012-04-12","ITA_B_2 - DEU_B_2"
"2009-05-28 - 2012-04-12","NOR_B_2 - ITA_B_2"
"2009-05-28 - 2012-04-12","ITA_B_2 - NOR_B_2"
"2009-05-28 - 2012-04-12","CHN_B_2 - USA_B_2"
"2009-05-28 - 2012-04-12","ITA_B_3 - AUS_B_3"
"2009-05-28 - 2012-04-12","MEX_B_3 - AUS_B_3"
"2009-05-28 - 2012-04-12","USA_B_3 - CAN_B_3"
"2009-05-28 - 2012-04-12","CHE_B_3 - DEU_B_3"
"2009-05-28 - 2012-04-12","CHE_B_3 - FRA_B_3"
"2009-05-28 - 2012-04-12","USA_B_3 - GBR_B_3"
"2009-05-28 - 2012-04-12","MEX_B_3 - USA_B_3"
"2009-05-28 - 2012-04-12","NOR_B_3 - USA_B_3"
"2009-06-04 - 2012-04-19","FRA_B_1 - CAN_B_1"
"2009-06-04 - 2012-04-19","GBR_B_1 - CAN_B_1"
"2009-06-04 - 2012-04-19","MEX_B_1 - CHN_B_1"
"2009-06-04 - 2012-04-19","USA_B_1 - CHN_B_1"
"2009-06-04 - 2012-04-19","FRA_B_1 - DEU_B_1"
"2009-06-04 - 2012-04-19","MEX_B_1 - DEU_B_1"
"2009-06-04 - 2012-04-19","MEX_B_1 - FRA_B_1"
"2009-06-04 - 2012-04-19","DEU_B_1 - GBR_B_1"
"2009-06-04 - 2012-04-19","CHN_B_1 - MEX_B_1"
"2009-06-04 - 2012-04-19","CHE_B_2 - AUS_B_2"
"2009-06-04 - 2012-04-19","GBR_B_2 - CHN_B_2"
"2009-06-04 - 2012-04-19","ITA_B_2 - DEU_B_2"
"2009-06-04 - 2012-04-19","NOR_B_2 - ITA_B_2"
"2009-06-04 - 2012-04-19","ITA_B_2 - NOR_B_2"
"2009-06-04 - 2012-04-19","CHN_B_2 - USA_B_2"
"2009-06-04 - 2012-04-19","ITA_B_3 - AUS_B_3"
"2009-06-04 - 2012-04-19","MEX_B_3 - AUS_B_3"
"2009-06-04 - 2012-04-19","CHE_B_3 - FRA_B_3"
"2009-06-04 - 2012-04-19","CHE_B_3 - ITA_B_3"
"2009-06-04 - 2012-04-19","MEX_B_3 - USA_B_3"
"2009-06-04 - 2012-04-19","NOR_B_3 - USA_B_3"
"2009-06-11 - 2012-04-26","USA_B_1 - AUS_B_1"
"2009-06-11 - 2012-04-26","FRA_B_1 - CAN_B_1"
"2009-06-11 - 2012-04-26","GBR_B_1 - CAN_B_1"
"2009-06-11 - 2012-04-26","MEX_B_1 - CHN_B_1"
"2009-06-11 - 2012-04-26","USA_B_1 - CHN_B_1"
"2009-06-11 - 2012-04-26","FRA_B_1 - DEU_B_1"
"2009-06-11 - 2012-04-26","MEX_B_1 - DEU_B_1"
"2009-06-11 - 2012-04-26","DEU_B_1 - GBR_B_1"
"2009-06-11 - 2012-04-26","CHN_B_1 - MEX_B_1"
"2009-06-11 - 2012-04-26","CHE_B_2 - AUS_B_2"
"2009-06-11 - 2012-04-26","GBR_B_2 - CHN_B_2"
"2009-06-11 - 2012-04-26","ITA_B_2 - DEU_B_2"
"2009-06-11 - 2012-04-26","NOR_B_2 - ITA_B_2"
"2009-06-11 - 2012-04-26","ITA_B_2 - NOR_B_2"
"2009-06-11 - 2012-04-26","CHN_B_2 - USA_B_2"
"2009-06-11 - 2012-04-26","MEX_B_3 - AUS_B_3"
"2009-06-11 - 2012-04-26","NOR_B_3 - AUS_B_3"
"2009-06-11 - 2012-04-26","CHE_B_3 - FRA_B_3"
"2009-06-11 - 2012-04-26","CHE_B_3 - ITA_B_3"
"2009-06-11 - 2012-04-26","MEX_B_3 - USA_B_3"
"2009-06-11 - 2012-04-26","NOR_B_3 - USA_B_3"
"2009-06-18 - 2012-05-03","USA_B_1 - AUS_B_1"
"2009-06-18 - 2012-05-03","FRA_B_1 - CAN_B_1"
"2009-06-18 - 2012-05-03","GBR_B_1 - CAN_B_1"
"2009-06-18 - 2012-05-03","MEX_B_1 - CHN_B_1"
"2009-06-18 - 2012-05-03","USA_B_1 - CHN_B_1"
"2009-06-18 - 2012-05-03","FRA_B_1 - DEU_B_1"
"2009-06-18 - 2012-05-03","MEX_B_1 - DEU_B_1"
"2009-06-18 - 2012-05-03","DEU_B_1 - GBR_B_1"
"2009-06-18 - 2012-05-03","CHN_B_1 - MEX_B_1"
"2009-06-18 - 2012-05-03","CHE_B_2 - AUS_B_2"
"2009-06-18 - 2012-05-03","AUS_B_2 - CAN_B_2"
"2009-06-18 - 2012-05-03","GBR_B_2 - CHN_B_2"
"2009-06-18 - 2012-05-03","ITA_B_2 - DEU_B_2"
"2009-06-18 - 2012-05-03","NOR_B_2 - ITA_B_2"
"2009-06-18 - 2012-05-03","ITA_B_2 - NOR_B_2"
"2009-06-18 - 2012-05-03","CHN_B_2 - USA_B_2"
"2009-06-18 - 2012-05-03","MEX_B_3 - AUS_B_3"
"2009-06-18 - 2012-05-03","NOR_B_3 - AUS_B_3"
"2009-06-18 - 2012-05-03","CHE_B_3 - FRA_B_3"
"2009-06-18 - 2012-05-03","CHE_B_3 - ITA_B_3"
"2009-06-18 - 2012-05-03","CAN_B_3 - MEX_B_3"
"2009-06-18 - 2012-05-03","MEX_B_3 - USA_B_3"
"2009-06-25 - 2012-05-10","FRA_B_1 - CAN_B_1"
"2009-06-25 - 2012-05-10","GBR_B_1 - CAN_B_1"
"2009-06-25 - 2012-05-10","MEX_B_1 - CHN_B_1"
"2009-06-25 - 2012-05-10","USA_B_1 - CHN_B_1"
"2009-06-25 - 2012-05-10","FRA_B_1 - DEU_B_1"
"2009-06-25 - 2012-05-10","MEX_B_1 - DEU_B_1"
"2009-06-25 - 2012-05-10","DEU_B_1 - GBR_B_1"
"2009-06-25 - 2012-05-10","CHN_B_1 - MEX_B_1"
"2009-06-25 - 2012-05-10","CHE_B_2 - AUS_B_2"
"2009-06-25 - 2012-05-10","GBR_B_2 - CHN_B_2"
"2009-06-25 - 2012-05-10","ITA_B_2 - DEU_B_2"
"2009-06-25 - 2012-05-10","ITA_B_2 - NOR_B_2"
"2009-06-25 - 2012-05-10","CHN_B_2 - USA_B_2"
"2009-06-25 - 2012-05-10","MEX_B_3 - AUS_B_3"
"2009-06-25 - 2012-05-10","NOR_B_3 - AUS_B_3"
"2009-06-25 - 2012-05-10","CHE_B_3 - ITA_B_3"
"2009-06-25 - 2012-05-10","CAN_B_3 - MEX_B_3"
"2009-06-25 - 2012-05-10","MEX_B_3 - USA_B_3"
"2009-07-02 - 2012-05-17","FRA_B_1 - CAN_B_1"
"2009-07-02 - 2012-05-17","GBR_B_1 - CAN_B_1"
"2009-07-02 - 2012-05-17","MEX_B_1 - CHN_B_1"
"2009-07-02 - 2012-05-17","USA_B_1 - CHN_B_1"
"2009-07-02 - 2012-05-17","FRA_B_1 - DEU_B_1"
"2009-07-02 - 2012-05-17","MEX_B_1 - DEU_B_1"
"2009-07-02 - 2012-05-17","DEU_B_1 - GBR_B_1"
"2009-07-02 - 2012-05-17","CHN_B_1 - MEX_B_1"
"2009-07-02 - 2012-05-17","CHE_B_2 - AUS_B_2"
"2009-07-02 - 2012-05-17","GBR_B_2 - CHN_B_2"
"2009-07-02 - 2012-05-17","ITA_B_2 - DEU_B_2"
"2009-07-02 - 2012-05-17","NOR_B_2 - ITA_B_2"
"2009-07-02 - 2012-05-17","ITA_B_2 - NOR_B_2"
"2009-07-02 - 2012-05-17","CHN_B_2 - USA_B_2"
"2009-07-02 - 2012-05-17","NOR_B_3 - AUS_B_3"
"2009-07-02 - 2012-05-17","CAN_B_3 - MEX_B_3"
"2009-07-02 - 2012-05-17","MEX_B_3 - USA_B_3"
