,timeframe,edges,,,timeframe,edges,,Row Labels,Count of edges,,,DEU_B_1 - MEX_B_1,70
316,2007-10-04 - 2010-08-19,NOR_B_1 - MEX_B_1,,,2007-10-04 - 2010-08-19,NOR_B_1 - MEX_B_1,,2010-07-15 - 2013-05-30,1,,,,
317,2007-10-11 - 2010-08-26,NOR_B_1 - MEX_B_1,,,2007-10-11 - 2010-08-26,NOR_B_1 - MEX_B_1,,2010-07-22 - 2013-06-06,1,,,,
318,2007-10-18 - 2010-09-02,NOR_B_1 - MEX_B_1,,,2007-10-18 - 2010-09-02,NOR_B_1 - MEX_B_1,,2010-07-29 - 2013-06-13,1,,,,
319,2007-10-25 - 2010-09-09,NOR_B_1 - MEX_B_1,,,2007-10-25 - 2010-09-09,NOR_B_1 - MEX_B_1,,2010-08-05 - 2013-06-20,1,,,,
320,2007-11-01 - 2010-09-16, - ,,,2007-11-01 - 2010-09-16, - ,,2010-08-12 - 2013-06-27,1,,,,
321,2007-11-08 - 2010-09-23, - ,,,2007-11-08 - 2010-09-23, - ,,2010-08-19 - 2013-07-04,1,,,,
322,2007-11-15 - 2010-09-30, - ,,,2007-11-15 - 2010-09-30, - ,,2010-08-26 - 2013-07-11,1,,,,
323,2007-11-22 - 2010-10-07, - ,,,2007-11-22 - 2010-10-07, - ,,2010-09-02 - 2013-07-18,1,,,,
324,2007-11-29 - 2010-10-14, - ,,,2007-11-29 - 2010-10-14, - ,,2010-09-09 - 2013-07-25,1,,,,
325,2007-12-06 - 2010-10-21,NOR_B_1 - MEX_B_1,,,2007-12-06 - 2010-10-21,NOR_B_1 - MEX_B_1,,2010-09-16 - 2013-08-01,1,,,,
326,2007-12-13 - 2010-10-28,USA_B_1 - CHE_B_1,,,2007-12-13 - 2010-10-28,USA_B_1 - CHE_B_1,,2010-09-23 - 2013-08-08,1,,,,
327,2007-12-13 - 2010-10-28,NOR_B_1 - MEX_B_1,,,2007-12-13 - 2010-10-28,NOR_B_1 - MEX_B_1,,2010-09-30 - 2013-08-15,1,,,,
328,2007-12-20 - 2010-11-04,NOR_B_1 - MEX_B_1,,,2007-12-20 - 2010-11-04,NOR_B_1 - MEX_B_1,,2010-10-07 - 2013-08-22,1,,,,
329,2007-12-27 - 2010-11-11,NOR_B_1 - MEX_B_1,,,2007-12-27 - 2010-11-11,NOR_B_1 - MEX_B_1,,2010-10-14 - 2013-08-29,1,,,,
330,2008-01-03 - 2010-11-18, - ,,,2008-01-03 - 2010-11-18, - ,,2010-10-21 - 2013-09-05,1,,,,
331,2008-01-10 - 2010-11-25, - ,,,2008-01-10 - 2010-11-25, - ,,2010-10-28 - 2013-09-12,1,,,,
332,2008-01-17 - 2010-12-02, - ,,,2008-01-17 - 2010-12-02, - ,,2010-11-04 - 2013-09-19,1,,,,
333,2008-01-24 - 2010-12-09,NOR_B_1 - MEX_B_1,,,2008-01-24 - 2010-12-09,NOR_B_1 - MEX_B_1,,2010-11-11 - 2013-09-26,1,,,,
334,2008-01-31 - 2010-12-16, - ,,,2008-01-31 - 2010-12-16, - ,,2010-11-18 - 2013-10-03,1,,,,
335,2008-02-07 - 2010-12-23, - ,,,2008-02-07 - 2010-12-23, - ,,2010-11-25 - 2013-10-10,1,,,,
336,2008-02-14 - 2010-12-30, - ,,,2008-02-14 - 2010-12-30, - ,,2010-12-02 - 2013-10-17,1,,,,
337,2008-02-21 - 2011-01-06, - ,,,2008-02-21 - 2011-01-06, - ,,2010-12-09 - 2013-10-24,1,,,,
338,2008-02-28 - 2011-01-13,NOR_B_1 - MEX_B_1,,,2008-02-28 - 2011-01-13,NOR_B_1 - MEX_B_1,,2010-12-16 - 2013-10-31,1,,,,
339,2008-03-06 - 2011-01-20,NOR_B_1 - MEX_B_1,,,2008-03-06 - 2011-01-20,NOR_B_1 - MEX_B_1,,2010-12-23 - 2013-11-07,1,,,,
340,2008-03-13 - 2011-01-27,NOR_B_1 - MEX_B_1,,,2008-03-13 - 2011-01-27,NOR_B_1 - MEX_B_1,,2010-12-30 - 2013-11-14,1,,,,
341,2008-03-20 - 2011-02-03, - ,,,2008-03-20 - 2011-02-03, - ,,2011-01-06 - 2013-11-21,1,,,,
342,2008-03-27 - 2011-02-10, - ,,,2008-03-27 - 2011-02-10, - ,,2011-01-13 - 2013-11-28,1,,,,
343,2008-04-03 - 2011-02-17,CHE_B_1 - USA_B_1,,,2008-04-03 - 2011-02-17,CHE_B_1 - USA_B_1,,2011-01-20 - 2013-12-05,1,,,,
344,2008-04-10 - 2011-02-24, - ,,,2008-04-10 - 2011-02-24, - ,,2011-01-27 - 2013-12-12,1,,,,
345,2008-04-17 - 2011-03-03, - ,,,2008-04-17 - 2011-03-03, - ,,2011-02-03 - 2013-12-19,1,,,,
346,2008-04-24 - 2011-03-10, - ,,,2008-04-24 - 2011-03-10, - ,,2011-02-10 - 2013-12-26,1,,,,
347,2008-05-01 - 2011-03-17, - ,,,2008-05-01 - 2011-03-17, - ,,2011-02-17 - 2014-01-02,1,,,,
348,2008-05-08 - 2011-03-24, - ,,,2008-05-08 - 2011-03-24, - ,,2011-02-24 - 2014-01-09,1,,,,
349,2008-05-15 - 2011-03-31, - ,,,2008-05-15 - 2011-03-31, - ,,2011-03-03 - 2014-01-16,1,,,,
350,2008-05-22 - 2011-04-07, - ,,,2008-05-22 - 2011-04-07, - ,,2011-03-10 - 2014-01-23,1,,,,
351,2008-05-29 - 2011-04-14, - ,,,2008-05-29 - 2011-04-14, - ,,2011-03-17 - 2014-01-30,1,,,,
352,2008-06-05 - 2011-04-21, - ,,,2008-06-05 - 2011-04-21, - ,,2011-03-24 - 2014-02-06,1,,,,
353,2008-06-12 - 2011-04-28, - ,,,2008-06-12 - 2011-04-28, - ,,2011-03-31 - 2014-02-13,1,,,,
354,2008-06-19 - 2011-05-05, - ,,,2008-06-19 - 2011-05-05, - ,,2011-04-07 - 2014-02-20,1,,,,
355,2008-06-26 - 2011-05-12, - ,,,2008-06-26 - 2011-05-12, - ,,2011-04-14 - 2014-02-27,1,,,,
356,2008-07-03 - 2011-05-19, - ,,,2008-07-03 - 2011-05-19, - ,,2011-04-21 - 2014-03-06,1,,,,
357,2008-07-10 - 2011-05-26, - ,,,2008-07-10 - 2011-05-26, - ,,2011-04-28 - 2014-03-13,1,,,,
358,2008-07-17 - 2011-06-02, - ,,,2008-07-17 - 2011-06-02, - ,,2011-05-05 - 2014-03-20,1,,,,
359,2008-07-24 - 2011-06-09, - ,,,2008-07-24 - 2011-06-09, - ,,2011-05-12 - 2014-03-27,1,,,,
360,2008-07-31 - 2011-06-16, - ,,,2008-07-31 - 2011-06-16, - ,,2011-05-19 - 2014-04-03,1,,,,
361,2008-08-07 - 2011-06-23, - ,,,2008-08-07 - 2011-06-23, - ,,2011-05-26 - 2014-04-10,1,,,,
362,2008-08-14 - 2011-06-30, - ,,,2008-08-14 - 2011-06-30, - ,,2011-06-02 - 2014-04-17,1,,,,
363,2008-08-21 - 2011-07-07, - ,,,2008-08-21 - 2011-07-07, - ,,2011-06-09 - 2014-04-24,1,,,,
364,2008-08-28 - 2011-07-14,FRA_B_1 - NOR_B_1,,,2008-08-28 - 2011-07-14,FRA_B_1 - NOR_B_1,,2011-06-16 - 2014-05-01,1,,,,
365,2008-09-04 - 2011-07-21, - ,,,2008-09-04 - 2011-07-21, - ,,2011-06-23 - 2014-05-08,1,,,,
366,2008-09-11 - 2011-07-28,NOR_B_1 - MEX_B_1,,,2008-09-11 - 2011-07-28,NOR_B_1 - MEX_B_1,,2011-06-30 - 2014-05-15,1,,,,
367,2008-09-18 - 2011-08-04,NOR_B_1 - MEX_B_1,,,2008-09-18 - 2011-08-04,NOR_B_1 - MEX_B_1,,2011-07-07 - 2014-05-22,1,,,,
368,2008-09-25 - 2011-08-11, - ,,,2008-09-25 - 2011-08-11, - ,,2011-07-14 - 2014-05-29,1,,,,
369,2008-10-02 - 2011-08-18, - ,,,2008-10-02 - 2011-08-18, - ,,2011-07-21 - 2014-06-05,1,,,,
370,2008-10-09 - 2011-08-25,NOR_B_1 - MEX_B_1,,,2008-10-09 - 2011-08-25,NOR_B_1 - MEX_B_1,,2011-07-28 - 2014-06-12,1,,,,
371,2008-10-16 - 2011-09-01,DEU_B_1 - FRA_B_1,,,2008-10-16 - 2011-09-01,DEU_B_1 - FRA_B_1,,2011-08-04 - 2014-06-19,1,,,,
372,2008-10-23 - 2011-09-08, - ,,,2008-10-23 - 2011-09-08, - ,,2011-08-11 - 2014-06-26,1,,,,
373,2008-10-30 - 2011-09-15, - ,,,2008-10-30 - 2011-09-15, - ,,2011-08-18 - 2014-07-03,1,,,,
374,2008-11-06 - 2011-09-22, - ,,,2008-11-06 - 2011-09-22, - ,,2011-08-25 - 2014-07-10,1,,,,
375,2008-11-13 - 2011-09-29, - ,,,2008-11-13 - 2011-09-29, - ,,2011-09-01 - 2014-07-17,1,,,,
376,2008-11-20 - 2011-10-06, - ,,,2008-11-20 - 2011-10-06, - ,,2011-09-08 - 2014-07-24,1,,,,
377,2008-11-27 - 2011-10-13, - ,,,2008-11-27 - 2011-10-13, - ,,2011-09-15 - 2014-07-31,1,,,,
378,2008-12-04 - 2011-10-20, - ,,,2008-12-04 - 2011-10-20, - ,,2011-09-22 - 2014-08-07,1,,,,
379,2008-12-11 - 2011-10-27, - ,,,2008-12-11 - 2011-10-27, - ,,2011-09-29 - 2014-08-14,1,,,,
380,2008-12-18 - 2011-11-03, - ,,,2008-12-18 - 2011-11-03, - ,,2011-10-06 - 2014-08-21,1,,,,
381,2008-12-25 - 2011-11-10, - ,,,2008-12-25 - 2011-11-10, - ,,2011-10-13 - 2014-08-28,1,,,,
382,2009-01-01 - 2011-11-17, - ,,,2009-01-01 - 2011-11-17, - ,,2011-10-20 - 2014-09-04,1,,,,
383,2009-01-08 - 2011-11-24, - ,,,2009-01-08 - 2011-11-24, - ,,2011-10-27 - 2014-09-11,1,,,,
384,2009-01-15 - 2011-12-01,DEU_B_1 - FRA_B_1,,,2009-01-15 - 2011-12-01,DEU_B_1 - FRA_B_1,,2011-11-03 - 2014-09-18,1,,,,
385,2009-01-22 - 2011-12-08, - ,,,2009-01-22 - 2011-12-08, - ,,2011-11-10 - 2014-09-25,1,,,,
386,2009-01-29 - 2011-12-15, - ,,,2009-01-29 - 2011-12-15, - ,,2011-11-17 - 2014-10-02,1,,,,
387,2009-02-05 - 2011-12-22, - ,,,2009-02-05 - 2011-12-22, - ,,2011-11-24 - 2014-10-09,1,,,,
388,2009-02-12 - 2011-12-29, - ,,,2009-02-12 - 2011-12-29, - ,,2011-12-01 - 2014-10-16,1,,,,
389,2009-02-19 - 2012-01-05, - ,,,2009-02-19 - 2012-01-05, - ,,2011-12-08 - 2014-10-23,1,,,,
390,2009-02-26 - 2012-01-12, - ,,,2009-02-26 - 2012-01-12, - ,,2011-12-15 - 2014-10-30,1,,,,
391,2009-03-05 - 2012-01-19, - ,,,2009-03-05 - 2012-01-19, - ,,2011-12-22 - 2014-11-06,1,,,,
392,2009-03-12 - 2012-01-26, - ,,,2009-03-12 - 2012-01-26, - ,,2011-12-29 - 2014-11-13,1,,,,
393,2009-03-19 - 2012-02-02, - ,,,2009-03-19 - 2012-02-02, - ,,2012-01-05 - 2014-11-20,1,,,,
394,2009-03-26 - 2012-02-09, - ,,,2009-03-26 - 2012-02-09, - ,,2012-01-12 - 2014-11-27,1,,,,
395,2009-04-02 - 2012-02-16, - ,,,2009-04-02 - 2012-02-16, - ,,2012-01-19 - 2014-12-04,1,,,,
396,2009-04-09 - 2012-02-23, - ,,,2009-04-09 - 2012-02-23, - ,,2012-01-26 - 2014-12-11,1,,,,
397,2009-04-16 - 2012-03-01, - ,,,2009-04-16 - 2012-03-01, - ,,2012-02-02 - 2014-12-18,1,,,,
398,2009-04-23 - 2012-03-08, - ,,,2009-04-23 - 2012-03-08, - ,,2012-02-09 - 2014-12-25,1,,,,
399,2009-04-30 - 2012-03-15, - ,,,2009-04-30 - 2012-03-15, - ,,2012-02-16 - 2015-01-01,1,,,,
400,2009-05-07 - 2012-03-22, - ,,,2009-05-07 - 2012-03-22, - ,,2012-02-23 - 2015-01-08,1,,,,
401,2009-05-14 - 2012-03-29, - ,,,2009-05-14 - 2012-03-29, - ,,2012-03-01 - 2015-01-15,1,,,,
402,2009-05-21 - 2012-04-05, - ,,,2009-05-21 - 2012-04-05, - ,,2012-03-08 - 2015-01-22,1,,,,
403,2009-05-28 - 2012-04-12, - ,,,2009-05-28 - 2012-04-12, - ,,2012-03-15 - 2015-01-29,1,,,,
404,2009-06-04 - 2012-04-19, - ,,,2009-06-04 - 2012-04-19, - ,,2012-03-22 - 2015-02-05,1,,,,
405,2009-06-11 - 2012-04-26, - ,,,2009-06-11 - 2012-04-26, - ,,2012-03-29 - 2015-02-12,1,,,,
406,2009-06-18 - 2012-05-03, - ,,,2009-06-18 - 2012-05-03, - ,,2012-04-05 - 2015-02-19,1,,,,
407,2009-06-25 - 2012-05-10, - ,,,2009-06-25 - 2012-05-10, - ,,2012-04-12 - 2015-02-26,1,,,,
408,2009-07-02 - 2012-05-17, - ,,,2009-07-02 - 2012-05-17, - ,,2012-04-19 - 2015-03-05,1,,,,
409,2009-07-09 - 2012-05-24, - ,,,2009-07-09 - 2012-05-24, - ,,2012-04-26 - 2015-03-12,1,,,,
410,2009-07-16 - 2012-05-31, - ,,,2009-07-16 - 2012-05-31, - ,,2012-05-03 - 2015-03-19,1,,,,
411,2009-07-23 - 2012-06-07, - ,,,2009-07-23 - 2012-06-07, - ,,2012-05-10 - 2015-03-26,1,,,,
412,2009-07-30 - 2012-06-14, - ,,,2009-07-30 - 2012-06-14, - ,,2012-05-17 - 2015-04-02,1,,,,
413,2009-08-06 - 2012-06-21, - ,,,2009-08-06 - 2012-06-21, - ,,2012-05-24 - 2015-04-09,1,,,,
414,2009-08-13 - 2012-06-28, - ,,,2009-08-13 - 2012-06-28, - ,,2012-05-31 - 2015-04-16,1,,,,
415,2009-08-20 - 2012-07-05, - ,,,2009-08-20 - 2012-07-05, - ,,2012-06-07 - 2015-04-23,1,,,,
416,2009-08-27 - 2012-07-12,CHN_B_1 - MEX_B_1,,,2009-08-27 - 2012-07-12,CHN_B_1 - MEX_B_1,,2012-06-14 - 2015-04-30,1,,,,
417,2009-09-03 - 2012-07-19,CHN_B_1 - MEX_B_1,,,2009-09-03 - 2012-07-19,CHN_B_1 - MEX_B_1,,2012-06-21 - 2015-05-07,1,,,,
418,2009-09-10 - 2012-07-26,CHN_B_1 - MEX_B_1,,,2009-09-10 - 2012-07-26,CHN_B_1 - MEX_B_1,,2012-06-28 - 2015-05-14,1,,,,
419,2009-09-17 - 2012-08-02,ITA_B_1 - FRA_B_1,,,2009-09-17 - 2012-08-02,ITA_B_1 - FRA_B_1,,2012-07-05 - 2015-05-21,1,,,,
420,2009-09-17 - 2012-08-02,CHN_B_1 - MEX_B_1,,,2009-09-17 - 2012-08-02,CHN_B_1 - MEX_B_1,,2012-07-12 - 2015-05-28,1,,,,
421,2009-09-24 - 2012-08-09,ITA_B_1 - FRA_B_1,,,2009-09-24 - 2012-08-09,ITA_B_1 - FRA_B_1,,2012-07-19 - 2015-06-04,1,,,,
422,2009-09-24 - 2012-08-09,CHN_B_1 - MEX_B_1,,,2009-09-24 - 2012-08-09,CHN_B_1 - MEX_B_1,,2012-07-26 - 2015-06-11,1,,,,
423,2009-10-01 - 2012-08-16, - ,,,2009-10-01 - 2012-08-16, - ,,2012-08-02 - 2015-06-18,1,,,,
424,2009-10-08 - 2012-08-23, - ,,,2009-10-08 - 2012-08-23, - ,,2012-08-09 - 2015-06-25,1,,,,
425,2009-10-15 - 2012-08-30, - ,,,2009-10-15 - 2012-08-30, - ,,2012-08-16 - 2015-07-02,1,,,,
426,2009-10-22 - 2012-09-06, - ,,,2009-10-22 - 2012-09-06, - ,,2012-08-23 - 2015-07-09,1,,,,
427,2009-10-29 - 2012-09-13, - ,,,2009-10-29 - 2012-09-13, - ,,2012-08-30 - 2015-07-16,1,,,,
428,2009-11-05 - 2012-09-20, - ,,,2009-11-05 - 2012-09-20, - ,,2012-09-06 - 2015-07-23,1,,,,
429,2009-11-12 - 2012-09-27, - ,,,2009-11-12 - 2012-09-27, - ,,2012-09-13 - 2015-07-30,1,,,,
430,2009-11-19 - 2012-10-04, - ,,,2009-11-19 - 2012-10-04, - ,,2012-09-20 - 2015-08-06,1,,,,
431,2009-11-26 - 2012-10-11, - ,,,2009-11-26 - 2012-10-11, - ,,2012-09-27 - 2015-08-13,1,,,,
432,2009-12-03 - 2012-10-18, - ,,,2009-12-03 - 2012-10-18, - ,,2012-10-04 - 2015-08-20,1,,,,
433,2009-12-10 - 2012-10-25, - ,,,2009-12-10 - 2012-10-25, - ,,2012-10-11 - 2015-08-27,1,,,,
434,2009-12-17 - 2012-11-01, - ,,,2009-12-17 - 2012-11-01, - ,,2012-10-18 - 2015-09-03,1,,,,
435,2009-12-24 - 2012-11-08, - ,,,2009-12-24 - 2012-11-08, - ,,2012-10-25 - 2015-09-10,1,,,,
436,2009-12-31 - 2012-11-15, - ,,,2009-12-31 - 2012-11-15, - ,,2012-11-01 - 2015-09-17,1,,,,
437,2010-01-07 - 2012-11-22, - ,,,2010-01-07 - 2012-11-22, - ,,2012-11-08 - 2015-09-24,1,,,,
438,2010-01-14 - 2012-11-29, - ,,,2010-01-14 - 2012-11-29, - ,,2012-11-15 - 2015-10-01,1,,,,
439,2010-01-21 - 2012-12-06, - ,,,2010-01-21 - 2012-12-06, - ,,2012-11-22 - 2015-10-08,1,,,,
440,2010-01-28 - 2012-12-13, - ,,,2010-01-28 - 2012-12-13, - ,,2012-11-29 - 2015-10-15,1,,,,
441,2010-02-04 - 2012-12-20, - ,,,2010-02-04 - 2012-12-20, - ,,2012-12-06 - 2015-10-22,1,,,,
442,2010-02-11 - 2012-12-27, - ,,,2010-02-11 - 2012-12-27, - ,,2012-12-13 - 2015-10-29,1,,,,
443,2010-02-18 - 2013-01-03, - ,,,2010-02-18 - 2013-01-03, - ,,2012-12-20 - 2015-11-05,1,,,,
444,2010-02-25 - 2013-01-10, - ,,,2010-02-25 - 2013-01-10, - ,,2012-12-27 - 2015-11-12,1,,,,
445,2010-03-04 - 2013-01-17, - ,,,2010-03-04 - 2013-01-17, - ,,2013-01-03 - 2015-11-19,1,,,,
446,2010-03-11 - 2013-01-24, - ,,,2010-03-11 - 2013-01-24, - ,,2013-01-10 - 2015-11-26,1,,,,
447,2010-03-18 - 2013-01-31, - ,,,2010-03-18 - 2013-01-31, - ,,2013-01-17 - 2015-12-03,1,,,,
448,2010-03-25 - 2013-02-07, - ,,,2010-03-25 - 2013-02-07, - ,,2013-01-24 - 2015-12-10,1,,,,
449,2010-04-01 - 2013-02-14, - ,,,2010-04-01 - 2013-02-14, - ,,2013-01-31 - 2015-12-17,1,,,,
450,2010-04-08 - 2013-02-21, - ,,,2010-04-08 - 2013-02-21, - ,,2013-02-07 - 2015-12-24,1,,,,
451,2010-04-15 - 2013-02-28, - ,,,2010-04-15 - 2013-02-28, - ,,2013-02-14 - 2015-12-31,1,,,,
452,2010-04-22 - 2013-03-07, - ,,,2010-04-22 - 2013-03-07, - ,,2013-02-21 - 2016-01-07,1,,,,
453,2010-04-29 - 2013-03-14, - ,,,2010-04-29 - 2013-03-14, - ,,2013-02-28 - 2016-01-14,1,,,,
454,2010-05-06 - 2013-03-21, - ,,,2010-05-06 - 2013-03-21, - ,,2013-03-07 - 2016-01-21,1,,,,
455,2010-05-13 - 2013-03-28, - ,,,2010-05-13 - 2013-03-28, - ,,2013-03-14 - 2016-01-28,1,,,,
456,2010-05-20 - 2013-04-04, - ,,,2010-05-20 - 2013-04-04, - ,,2013-03-21 - 2016-02-04,1,,,,
457,2010-05-27 - 2013-04-11, - ,,,2010-05-27 - 2013-04-11, - ,,2013-03-28 - 2016-02-11,1,,,,
458,2010-06-03 - 2013-04-18, - ,,,2010-06-03 - 2013-04-18, - ,,2013-04-04 - 2016-02-18,1,,,,
459,2010-06-10 - 2013-04-25, - ,,,2010-06-10 - 2013-04-25, - ,,2013-04-11 - 2016-02-25,1,,,,
460,2010-06-17 - 2013-05-02, - ,,,2010-06-17 - 2013-05-02, - ,,2013-04-18 - 2016-03-03,1,,,,
461,2010-06-24 - 2013-05-09, - ,,,2010-06-24 - 2013-05-09, - ,,2013-04-25 - 2016-03-10,1,,,,
462,2010-07-01 - 2013-05-16, - ,,,2010-07-01 - 2013-05-16, - ,,2013-05-02 - 2016-03-17,1,,,,
463,2010-07-08 - 2013-05-23,MEX_B_1 - USA_B_1,,,2010-07-08 - 2013-05-23,MEX_B_1 - USA_B_1,,2013-05-09 - 2016-03-24,1,,,,
464,2010-07-15 - 2013-05-30,MEX_B_1 - USA_B_1,,,2010-07-15 - 2013-05-30,MEX_B_1 - USA_B_1,,2013-05-16 - 2016-03-31,1,,,,
465,2010-07-22 - 2013-06-06,MEX_B_1 - USA_B_1,,,2010-07-22 - 2013-06-06,MEX_B_1 - USA_B_1,,2013-05-23 - 2016-04-07,1,,,,
466,2010-07-29 - 2013-06-13, - ,,,2010-07-29 - 2013-06-13, - ,,2013-05-30 - 2016-04-14,1,,,,
467,2010-08-05 - 2013-06-20, - ,,,2010-08-05 - 2013-06-20, - ,,2013-06-06 - 2016-04-21,1,,,,
468,2010-08-12 - 2013-06-27, - ,,,2010-08-12 - 2013-06-27, - ,,2013-06-13 - 2016-04-28,1,,,,
469,2010-08-19 - 2013-07-04, - ,,,2010-08-19 - 2013-07-04, - ,,2013-06-20 - 2016-05-05,1,,,,
470,2010-08-26 - 2013-07-11, - ,,,2010-08-26 - 2013-07-11, - ,,2013-06-27 - 2016-05-12,1,,,,
471,2010-09-02 - 2013-07-18, - ,,,2010-09-02 - 2013-07-18, - ,,2013-07-04 - 2016-05-19,1,,,,
472,2010-09-09 - 2013-07-25, - ,,,2010-09-09 - 2013-07-25, - ,,2013-07-11 - 2016-05-26,1,,,,
473,2010-09-16 - 2013-08-01, - ,,,2010-09-16 - 2013-08-01, - ,,2013-07-18 - 2016-06-02,1,,,,
474,2010-09-23 - 2013-08-08, - ,,,2010-09-23 - 2013-08-08, - ,,2013-07-25 - 2016-06-09,1,,,,
475,2010-09-30 - 2013-08-15, - ,,,2010-09-30 - 2013-08-15, - ,,2013-08-01 - 2016-06-16,1,,,,
476,2010-10-07 - 2013-08-22, - ,,,2010-10-07 - 2013-08-22, - ,,2013-08-08 - 2016-06-23,1,,,,
477,2010-10-14 - 2013-08-29, - ,,,2010-10-14 - 2013-08-29, - ,,2013-08-15 - 2016-06-30,1,,,,
478,2010-10-21 - 2013-09-05, - ,,,2010-10-21 - 2013-09-05, - ,,2013-08-22 - 2016-07-07,1,,,,
479,2010-10-28 - 2013-09-12, - ,,,2010-10-28 - 2013-09-12, - ,,2013-08-29 - 2016-07-14,1,,,,
480,2010-11-04 - 2013-09-19, - ,,,2010-11-04 - 2013-09-19, - ,,2013-09-05 - 2016-07-21,1,,,,
481,2010-11-11 - 2013-09-26, - ,,,2010-11-11 - 2013-09-26, - ,,2013-09-12 - 2016-07-28,1,,,,
482,2010-11-18 - 2013-10-03, - ,,,2010-11-18 - 2013-10-03, - ,,2013-09-19 - 2016-08-04,1,,,,
483,2010-11-25 - 2013-10-10,NOR_B_1 - JPN_B_1,,,2010-11-25 - 2013-10-10,NOR_B_1 - JPN_B_1,,2013-09-26 - 2016-08-11,1,,,,
484,2010-12-02 - 2013-10-17,NOR_B_1 - JPN_B_1,,,2010-12-02 - 2013-10-17,NOR_B_1 - JPN_B_1,,2013-10-03 - 2016-08-18,1,,,,
485,2010-12-09 - 2013-10-24,NOR_B_1 - JPN_B_1,,,2010-12-09 - 2013-10-24,NOR_B_1 - JPN_B_1,,2013-10-10 - 2016-08-25,1,,,,
486,2010-12-16 - 2013-10-31, - ,,,2010-12-16 - 2013-10-31, - ,,2013-10-17 - 2016-09-01,1,,,,
487,2010-12-23 - 2013-11-07, - ,,,2010-12-23 - 2013-11-07, - ,,2013-10-24 - 2016-09-08,1,,,,
488,2010-12-30 - 2013-11-14,CHN_B_1 - MEX_B_1,,,2010-12-30 - 2013-11-14,CHN_B_1 - MEX_B_1,,2013-10-31 - 2016-09-15,1,,,,
489,2011-01-06 - 2013-11-21,CHN_B_1 - MEX_B_1,,,2011-01-06 - 2013-11-21,CHN_B_1 - MEX_B_1,,2013-11-07 - 2016-09-22,1,,,,
490,2011-01-13 - 2013-11-28,CHN_B_1 - MEX_B_1,,,2011-01-13 - 2013-11-28,CHN_B_1 - MEX_B_1,,2013-11-14 - 2016-09-29,1,,,,
491,2011-01-20 - 2013-12-05,CHN_B_1 - MEX_B_1,,,2011-01-20 - 2013-12-05,CHN_B_1 - MEX_B_1,,2013-11-21 - 2016-10-06,1,,,,
492,2011-01-27 - 2013-12-12, - ,,,2011-01-27 - 2013-12-12, - ,,2013-11-28 - 2016-10-13,1,,,,
493,2011-02-03 - 2013-12-19, - ,,,2011-02-03 - 2013-12-19, - ,,2013-12-05 - 2016-10-20,1,,,,
494,2011-02-10 - 2013-12-26, - ,,,2011-02-10 - 2013-12-26, - ,,2013-12-12 - 2016-10-27,1,,,,
495,2011-02-17 - 2014-01-02, - ,,,2011-02-17 - 2014-01-02, - ,,2013-12-19 - 2016-11-03,1,,,,
496,2011-02-24 - 2014-01-09, - ,,,2011-02-24 - 2014-01-09, - ,,2013-12-26 - 2016-11-10,1,,,,
497,2011-03-03 - 2014-01-16, - ,,,2011-03-03 - 2014-01-16, - ,,2014-01-02 - 2016-11-17,1,,,,
498,2011-03-10 - 2014-01-23, - ,,,2011-03-10 - 2014-01-23, - ,,2014-01-09 - 2016-11-24,1,,,,
499,2011-03-17 - 2014-01-30, - ,,,2011-03-17 - 2014-01-30, - ,,2014-01-16 - 2016-12-01,1,,,,
500,2011-03-24 - 2014-02-06, - ,,,2011-03-24 - 2014-02-06, - ,,2014-01-23 - 2016-12-08,1,,,,
501,2011-03-31 - 2014-02-13, - ,,,2011-03-31 - 2014-02-13, - ,,2014-01-30 - 2016-12-15,1,,,,
502,2011-04-07 - 2014-02-20, - ,,,2011-04-07 - 2014-02-20, - ,,2014-02-06 - 2016-12-22,1,,,,
503,2011-04-14 - 2014-02-27, - ,,,2011-04-14 - 2014-02-27, - ,,2014-02-13 - 2016-12-29,1,,,,
504,2011-04-21 - 2014-03-06,CAN_B_1 - GBR_B_1,,,2011-04-21 - 2014-03-06,CAN_B_1 - GBR_B_1,,2014-02-20 - 2017-01-05,1,,,,
505,2011-04-28 - 2014-03-13, - ,,,2011-04-28 - 2014-03-13, - ,,2014-02-27 - 2017-01-12,1,,,,
506,2011-05-05 - 2014-03-20, - ,,,2011-05-05 - 2014-03-20, - ,,2014-03-06 - 2017-01-19,1,,,,
507,2011-05-12 - 2014-03-27, - ,,,2011-05-12 - 2014-03-27, - ,,2014-03-13 - 2017-01-26,1,,,,
508,2011-05-19 - 2014-04-03, - ,,,2011-05-19 - 2014-04-03, - ,,2014-03-20 - 2017-02-02,1,,,,
509,2011-05-26 - 2014-04-10, - ,,,2011-05-26 - 2014-04-10, - ,,2014-03-27 - 2017-02-09,1,,,,
510,2011-06-02 - 2014-04-17, - ,,,2011-06-02 - 2014-04-17, - ,,2014-04-03 - 2017-02-16,1,,,,
511,2011-06-09 - 2014-04-24, - ,,,2011-06-09 - 2014-04-24, - ,,2014-04-10 - 2017-02-23,1,,,,
512,2011-06-16 - 2014-05-01, - ,,,2011-06-16 - 2014-05-01, - ,,2014-04-17 - 2017-03-02,1,,,,
513,2011-06-23 - 2014-05-08, - ,,,2011-06-23 - 2014-05-08, - ,,2014-04-24 - 2017-03-09,1,,,,
